,0,1,2
269,"(8, 409)","(59, 199)","(64, 191)"
270,"(131, 699)","(168, 105)","(184, 640)"
271,"(11, 627)","(40, 567)","(53, 625)"
272,"(11, 431)","(42, 641)","(75, 145)"
273,"(55, 674)","(148, 274)","(211, 101)"
274,"(127, 674)","(140, 156)","(148, 87)"
275,"(63, 429)","(74, 645)","(101, 353)"
276,"(50, 623)","(69, 568)","(101, 457)"
277,"(58, 61)","(77, 46)","(87, 411)"
278,"(14, 594)","(32, 419)","(57, 448)"
279,"(34, 573)","(45, 74)","(87, 578)"
280,"(22, 370)","(23, 134)","(57, 389)"
281,"(128, 126)","(128, 254)","(161, 538)"
282,"(28, 154)","(30, 345)","(32, 76)"
283,"(88, 54)","(116, 78)","(145, 665)"
284,"(23, 465)","(28, 514)","(46, 564)"
285,"(33, 300)","(43, 261)","(82, 124)"
286,"(83, 250)","(118, 242)","(126, 244)"
287,"(72, 162)","(76, 595)","(89, 45)"
288,"(33, 406)","(61, 197)","(63, 710)"
289,"(21, 43)","(38, 472)","(66, 453)"
290,"(37, 60)","(95, 42)","(98, 710)"
291,"(66, 41)","(66, 339)","(75, 558)"
292,"(80, 633)","(81, 664)","(101, 550)"
293,"(115, 265)","(134, 637)","(144, 636)"
294,"(82, 29)","(90, 309)","(100, 315)"
295,"(22, 387)","(40, 98)","(42, 385)"
296,"(16, 120)","(61, 510)","(119, 197)"
297,"(58, 314)","(60, 540)","(64, 687)"
298,"(163, 104)","(175, 44)","(237, 625)"
299,"(83, 154)","(84, 76)","(104, 184)"
300,"(33, 285)","(47, 261)","(111, 240)"
301,"(30, 30)","(76, 310)","(99, 338)"
302,"(56, 377)","(57, 375)","(66, 552)"
303,"(21, 417)","(23, 533)","(33, 448)"
304,"(117, 282)","(124, 523)","(128, 184)"
305,"(89, 340)","(95, 358)","(118, 682)"
306,"(25, 165)","(68, 105)","(98, 699)"
307,"(38, 26)","(101, 190)","(105, 58)"
308,"(35, 326)","(71, 465)","(89, 284)"
309,"(34, 29)","(84, 515)","(89, 262)"
310,"(43, 338)","(53, 430)","(67, 488)"
311,"(105, 240)","(118, 90)","(119, 198)"
312,"(45, 673)","(51, 390)","(77, 572)"
313,"(41, 630)","(42, 88)","(73, 544)"
314,"(58, 297)","(85, 540)","(93, 515)"
315,"(26, 516)","(64, 330)","(100, 294)"
316,"(23, 424)","(52, 719)","(70, 129)"
