,Unnamed: 0,address,zipcode,city,state,latitude,longitude,amount
1449,1449,651 Holly Street,80220.0,Denver,CO,39.726648,-104.923105,481931.0
1450,1450,2318 South Josephine Street,80210.0,Denver,CO,39.674403999999996,-104.957551,777282.0
1452,1452,2622 Gaylord Street,80205.0,Denver,CO,39.754917999999996,-104.96061100000001,752702.0
1453,1453,3491 West 30th Avenue,80211.0,Denver,CO,39.760501,-105.034219,559381.0
1455,1455,4245 Kalamath Street,80211.0,Denver,CO,39.77489,-105.00091599999999,392987.0
1457,1457,3878 Federal Boulevard,80211.0,Denver,CO,39.770703999999995,-105.024716,513679.0
1458,1458,2423 Lawrence Street,80205.0,Denver,CO,39.756419,-104.986639,501142.0
1459,1459,3600 Monroe Street,80205.0,Denver,CO,39.767068,-104.94482099999999,389009.0
1460,1460,4161 Vrain Street,80212.0,Denver,CO,39.774042,-105.04656999999999,916927.0
1461,1461,3150 West 26th Avenue,80211.0,Denver,CO,39.754538000000004,-105.02808200000001,612133.0
1462,1462,20 East Maple Avenue,80209.0,Denver,CO,39.713712,-104.986759,476410.0
1463,1463,6646 West Hamilton Drive,80227.0,Lakewood,CO,39.654226,-105.06851599999999,558996.0
1464,1464,3537 Marion Street,80205.0,Denver,CO,39.766489,-104.972458,437584.0
1466,1466,4036 West 16th Avenue,80204.0,Denver,CO,39.742484999999995,-105.03983600000001,665655.0
1467,1467,2112 Clay Street,80211.0,Denver,CO,39.748981,-105.02009199999999,662046.0
1468,1468,1900 South Sherman Street,80210.0,Denver,CO,39.682001,-104.984873,730000.0
1470,1470,834 Emerson Street,80209.0,Denver,CO,39.701358,-104.97658799999999,631068.0
1471,1471,852 Clarkson Street,80218.0,Denver,CO,39.730004,-104.977255,1104641.0
1473,1473,2627 West 26th Avenue,80211.0,Denver,CO,39.755099,-105.019747,648006.0
1474,1474,1201 South Downing Street,80210.0,Denver,CO,39.694575,-104.97378400000001,900825.0
