,latitude,longitude
432,39.749790000000004,-104.97188999999999
433,39.75985,-105.01683999999999
434,39.755959999999995,-105.03952
435,39.72975,-104.98163000000001
436,39.73215,-104.97578999999999
437,39.69475,-104.98092
438,39.75185,-104.96973999999999
439,39.673759999999994,-104.96593999999999
440,39.74095,-104.93941000000001
441,39.67042,-104.98438
442,39.75442,-105.03403999999999
443,39.72838,-104.9677
444,39.75142,-104.99529
445,39.75431,-105.00608000000001
446,39.73225,-104.98892
447,39.76465,-105.02155
448,39.73114,-104.98069
449,39.7584,-105.01601000000001
450,39.74606,-104.92298000000001
451,39.7809,-104.7551
452,39.72061,-104.99436999999999
453,39.735009999999996,-104.97173000000001
454,39.7142,-104.98695
455,39.72927,-104.97457
456,39.73963,-104.97986999999999
457,39.76925,-105.01645
458,39.735409999999995,-104.97823999999999
459,39.71972,-105.0519
460,39.720079999999996,-105.05228000000001
461,39.665,-105.06226000000001
462,39.77408,-105.01205
463,39.72295,-104.98606000000001
464,39.74982,-105.02821000000002
465,39.76343,-105.04005
466,39.6368,-104.88621
467,39.753240000000005,-105.02313999999998
468,39.729079999999996,-105.00118
469,39.77214,-105.03283
470,39.72885,-105.00116000000001
471,39.76307,-105.00703999999999
472,39.70913,-104.98061000000001
473,39.78845,-104.74144
474,39.753040000000006,-104.96218
475,39.75229,-105.03663999999999
476,39.73471,-104.94383
477,39.75493,-105.00866
478,39.74734,-104.99645
479,39.71349,-104.9856
480,39.75254,-104.96983999999999
481,39.76102,-104.96816000000001
482,39.759240000000005,-104.88371000000001
483,39.76432,-104.93186000000001
484,39.756679999999996,-104.90581999999999
485,39.72813,-104.94892
486,39.753609999999995,-105.02094
487,39.63086,-104.91105
488,39.72681,-104.97865
489,39.77315,-105.00719
490,39.747370000000004,-105.03742
491,39.72622,-104.98235
492,39.73493,-104.9992
493,39.79423,-104.74629
494,39.747659999999996,-104.96065
495,39.74755,-104.96125
496,39.73377,-104.98411000000002
497,39.75377,-104.96105
498,39.73469,-104.9872
499,39.72017,-104.99743000000001
500,39.7509,-105.02911999999999
501,39.753209999999996,-105.02996
502,39.76574,-104.97466000000001
503,39.76766,-105.04508999999999
504,39.74825,-105.02215
505,39.76676,-104.98118000000001
506,39.77147,-105.00068
507,39.76625,-104.98227
508,39.73287,-104.98315
509,39.73065,-104.97583
510,39.76497,-105.01733999999999
511,39.763490000000004,-105.00636999999999
512,39.76737,-105.00523000000001
513,39.75338,-104.89562
514,39.73645,-104.96961
515,39.64632,-105.05333999999999
516,39.76076,-104.97511000000002
517,39.67525,-104.98616000000001
518,39.75468,-104.9662
519,39.74855,-105.02292
520,39.758359999999996,-104.9802
521,39.759879999999995,-105.02968
522,39.65832,-104.92653999999999
523,39.76617,-105.05323
524,39.74523,-104.97756000000001
525,39.749759999999995,-105.00133000000001
526,39.725559999999994,-104.99816000000001
527,39.7582,-105.01591
528,39.75152,-105.03918
529,39.67087,-104.98872
530,39.75806,-104.92584
531,39.7723,-104.99936000000001
532,39.73386,-104.89381999999999
533,39.77048,-105.0105
534,39.752559999999995,-104.98796000000002
535,39.76678,-104.94313999999999
536,39.75715,-104.92546999999999
537,39.75933,-105.0461
538,39.76051,-104.9784
539,39.714009999999995,-104.98855
540,39.7178,-105.03837
541,39.728590000000004,-104.9561
542,39.75851,-104.89081999999999
543,39.76177,-105.02921
544,39.671170000000004,-104.98895
545,39.73559,-105.00023
546,39.74872,-104.96441999999999
547,39.76275,-105.0263
548,39.733059999999995,-104.97482
549,39.75394,-104.99265
550,39.7608,-104.96898
551,39.76766,-105.05248999999999
552,39.75895,-104.93248
553,39.750840000000004,-104.98193
554,39.73881,-104.94521
555,39.762159999999994,-105.04899999999999
556,39.74102,-104.97311
557,39.65833,-104.90491999999999
558,39.7488,-104.98836000000001
559,39.764309999999995,-105.01852
560,39.7653,-105.00998
561,39.75691,-105.05242
562,39.70921,-104.98517
563,39.67111,-104.94505
564,39.67133,-104.98868999999999
565,39.75507,-104.96613
566,39.696690000000004,-104.88176999999999
