,address,zipcode,city,state,latitude,longitude,amount
158,5747 East Bayaud Avenue,,,,,,
159,2400 East Asbury Avenue,80210,Denver,CO,39.679823,-104.957247,
160,698 East Virginia Avenue,,,,,,
161,2211 South Gilpin Street,80210,Denver,CO,39.676347,-104.967907,824533
162,5630 Martin Luther King Jr Boulevard,,,,,,
163,752 South Wolcott Court,80219,Denver,CO,39.703141,-105.04915,320107
164,300 East 9th Avenue,,,,,,
165,5011 Quitman Street,80212,Denver,CO,39.787709,-105.040729,968099
166,3722 Tejon Street,80211,Denver,CO,39.768487,-105.010861,515844
167,68 Lincoln Street,80203,Denver,CO,39.717758,-104.985871,
168,5098 Newton Street,80221,Denver,CO,39.789046,-105.03661,
169,3809 Winona Court,80212,Denver,CO,39.769756,-105.047717,1207291
170,4051 West Conejos Place,80204,Denver,CO,39.742044,-105.04002,880374
171,1320 Monroe Street,,,,,,
172,2627 East 7th Avenue,80206,Denver,CO,39.727598,-104.955859,3110373
173,9039 East Girard Avenue,,,,,,
174,5262 East Mississippi Avenue,,,,,,
175,3501 Josephine Street,80205,Denver,CO,39.7659,-104.958917,562665
176,648 Columbine Street,80206,Denver,CO,39.726543,-104.957528,1320457
177,5709 Ceylon Street,80249,Denver,CO,39.802074,-104.765042,293414
178,1431 Lafayette Street,80218,Denver,CO,39.739,-104.971014,687221
179,950 Tennyson Street,80204,Denver,CO,39.732432,-105.043488,392505
180,4624 East 1st Avenue,,,,,,
181,4800 South Dudley Street,80123,Denver,CO,39.631466,-105.09495,
182,3361 Mariposa Street,80211,Denver,CO,39.764312,-105.0033,831552
183,2435 West 33rd Avenue,80211,Denver,CO,39.763468,-105.016723,1189935
184,1104 South Jackson Street,80209,Denver,CO,39.709656,-104.942726,
185,530 West 1st Avenue,80223,Denver,CO,39.718107,-104.994802,631484
186,323 South Pearl Street,,,,,,
187,3645 West Alice Place,80211,Denver,CO,39.781378,-105.035576,537158
188,2139 18th Street,80202,Denver,CO,39.757895,-105.0035,1889961
189,931 South Pennsylvania Street,80209,Denver,CO,39.699619,-104.981882,770266
190,543 South Pennsylvania Street,80209,Denver,CO,39.706685,-104.98193,654012
191,1200 Colorado Boulevard,80206,Denver,CO,39.734966,-104.940244,295738
192,2649 West 24th Avenue,80211,Denver,CO,39.752611,-105.020339,547322
193,840 South Raritan Street,80223,Denver,CO,39.700695,-105.008459,384834
194,4321 Osage Street,80211,Denver,CO,39.7759,-105.005637,519154
195,1227 South Eudora Street,,,,,,
196,2816 West 25th Avenue,80211,Denver,CO,39.753273,-105.022665,751436
197,3501 Vallejo Street,80211,Denver,CO,39.765794,-105.013119,718401
198,823 East 25th Avenue,,,,,,
